0,iw8_sm_t9handling_variant_0,iw8_sm_t9handling,,,,,,,,,,,,,,,WEAPON_TANGO/SM_T9HANDLING,ui_loot_weapon_sm_t9handling,,,
1,iw8_sm_t9handling_variant_1,iw8_sm_t9handling,,rec|1 front|1 back|1 mag|1,,barmid|0,lasermix2|1,,reflex|0,,,,,,,,WEAPON_TANGO/SM_T9HANDLING_V2,ui_loot_weapon_sm_t9handling_v1,,,
2,iw8_sm_t9handling_variant_2,iw8_sm_t9handling,,rec|2 front|2 back|2 mag|2,silencer|1,,laserrange|0,,acog2|0,,,stockfold|0,,,,,WEAPON_TANGO/SM_T9HANDLING_V3,ui_loot_weapon_sm_t9handling_v2,,,
3,iw8_sm_t9handling_variant_3,iw8_sm_t9handling,,rec|3 front|3 back|3 mag|3,linearbrake|0,,,,holo|1,,,stockl|1,,,,,WEAPON_TANGO/SM_T9HANDLING_V4,ui_loot_weapon_sm_t9handling_v3,,,
4,iw8_sm_t9handling_variant_4,iw8_sm_t9handling,,rec|4 front|4 back|4 mag|4,comp|0,barcust|1,,gripcust2|0,,xmags|1,,stockh|1,,,,,WEAPON_TANGO/SM_T9HANDLING_V5,ui_loot_weapon_sm_t9handling_v4,,,
5,iw8_sm_t9handling_variant_5,iw8_sm_t9handling,,rec|5 front|5 back|5 mag|5,silencer|2,,laserads|0,,reflex2|1,xmags|2,,stockl|2,,,,,WEAPON_TANGO/SM_T9HANDLING_V6,ui_loot_weapon_sm_t9handling_v5,,,
6,iw8_sm_t9handling_variant_6,iw8_sm_t9handling,,rec|6 front|6 back|6 mag|6,silencer|0,barcust|0,laserrange|0,,,,,stockfold|0,,,,,WEAPON_TANGO/SM_T9HANDLING_V7,ui_loot_weapon_sm_t9handling_v6,,,
7,iw8_sm_t9handling_variant_7,iw8_sm_t9handling,,rec|7 front|7 back|7 mag|7,silencer2|1,,,gripang|1,reflexmini2|1,xmags|3,,stockno|1,,,,,WEAPON_TANGO/SM_T9HANDLING_V8,ui_loot_weapon_sm_t9handling_v7,,,
8,iw8_sm_t9handling_variant_8,iw8_sm_t9handling,,rec|8 front|8 back|8 mag|8,silencer2|2,,laserads|1,,reflex2|0,,,stockl|3,,,,,WEAPON_TANGO/SM_T9HANDLING_V9,ui_loot_weapon_sm_t9handling_v8,,,
9,iw8_sm_t9handling_variant_9,iw8_sm_t9handling,,rec|9 front|9 back|9 mag|9,silencer|3,,,gripangpro|1,reflex|0,fastmags2|1,,stockl|4,,,,,WEAPON_TANGO/SM_T9HANDLING_V10,ui_loot_weapon_sm_t9handling_v9,,,
10,iw8_sm_t9handling_variant_10,iw8_sm_t9handling,,rec|10 front|10 back|10 mag|10,silencer|4,,,,reflexmini|1,xmags|4,pistolgrip04|0,stockl|5,,,,,WEAPON_TANGO/SM_T9HANDLING_V11,ui_loot_weapon_sm_t9handling_v10,,,
